Aachen,noun,Aachen
Aaron,noun,Aarons/Aaron
Abbas,noun,Abbas/Abbases
Abbott,noun,Abbott
Abelson,noun,Abelson/Abelsons
Aberdeen,noun,Aberdeen
Abidjan,noun,Abidjan
Abigail,noun,Abigail
Abilene,noun,Abilene
Abraham,noun,Abrahams/Abraham
Abram,noun,Abram/Abrams
Abrams,noun,Abrams/Abramses
Abuja,noun,Abuja
Abyssinia,noun,Abyssinia
Abyssinian,adj,,
Abyssinian,noun,Abyssinians
Acapulco,noun,Acapulco
Accra,noun,Accra
Achaean,adj,,
Achaean,noun,Achaeans
Achilles,noun,Achilles
Acosta,noun,Acosta/Acostas
Acropolis,noun,
Acton,noun,Actons/Acton
Adam,noun,Adam/Adams
Adams,noun,
Adar,noun,Adar/Adars
Addison,noun,Addisons/Addison
Adelaide,noun,Adelaide
Aden,noun,Aden
Adkins,noun,Adkins/Adkinses
Adler,noun,Adlers/Adler
Adolf,noun,Adolf/Adolfs
Adolph,noun,Adolph/Adolphs
Adonis,noun,Adonis/Adonises
Adrian,noun,Adrian/Adrians
Adriana,noun,Adriana
Adriatic,noun,
Adventist,adj,,
Adventist,noun,Adventists
Aegean,adj,,
Aeolus,noun,Aeolus
Aethiopian,noun,Aethiopians
Afghan,adj,,
Afghan,noun,Afghans
Afghani,adj,,
Afghani,noun,Afghanis
Afghanistan,noun,Afghanistan
Africa,noun,Africa
African,adj,,
African,noun,Africans
Afrikaans,noun,Afrikaans
Afro,adj,,
Afro,noun,Afros
Afrocentrism,noun,Afrocentrism
Aglaia,noun,Aglaia
Agnes,noun,Agnes/Agneses
Agnew,noun,Agnew/Agnews
Agra,noun,Agra/Agras
Ahmed,noun,Ahmed/Ahmeds
Ainu,noun,Ainus/Ainu
Airedale,noun,Airedale/Airedales
Akita,noun,Akita/Akitas
Akron,noun,Akron
Alabama,noun,Alabama
Alabaman,adj,,
Alabaman,noun,Alabamans
Alabamian,adj,,
Alabamian,noun,Alabamians
Alamo,noun,
Alan,noun,Alans/Alan
Alaska,noun,Alaska
Alaskan,adj,,
Alaskan,noun,Alaskans
Albania,noun,Albania
Albanian,adj,,
Albanian,noun,Albanians
Albany,noun,Albany
Albee,noun,Albee/Albees
Albert,noun,Alberts/Albert
Alberta,noun,Alberta
Albion,noun,Albion
Albuquerque,noun,Albuquerque
Aleppo,noun,Aleppo
Aleut,adj,,
Aleut,noun,Aleuts/Aleut
Aleutian,adj,,
Alex,noun,Alex/Alexes
Alexander,noun,Alexanders/Alexander
Alexandra,noun,Alexandra/Alexandras
Alexandria,noun,Alexandria/Alexandrias
Alfonso,noun,Alfonso/Alfonsos
Alfred,noun,Alfred
Alger,noun,Alger/Algers
Algeria,noun,Algeria
Algerian,adj,,
Algerian,noun,Algerians
Algiers,noun,Algiers
Alice,noun,
Alicia,noun,Alicia/Alicias
Alison,noun,Alisons/Alison
Allahabad,noun,Allahabad
Allan,noun,Allans/Allan
Alleghenies,noun,Alleghenies
Allen,noun,Allens/Allen
Allentown,noun,Allentown
Alma,noun,Alma/Almas
Almighty,noun,Almighties
Alonzo,noun,Alonzo/Alonzos
Alps,noun,Alps
Alsatian,noun,Alsatians
Altai,noun,Altai
Altaic,adj,,
Althea,noun,Althea
Altiplano,noun,Altiplano
Altman,noun,Altman/Altmans
Alton,noun,Alton/Altons
Alvarez,noun,Alvarez/Alvarezes
Alzheimer,noun,Alzheimers/Alzheimer
Amanda,noun,Amandas/Amanda
Amarillo,noun,Amarillo
Amazon,noun,Amazons
Amerasian,adj,,
Amerasian,noun,Amerasians
America,noun,Americas/America
American,adj,,
American,noun,Americans
Americana,noun,Americana
Americanisation,noun,Americanisation/Americanisations
Americanise,verb,Americanised,,Americanising,Americanises
Americanism,noun,Americanisms/Americanism
Americanization,noun,Americanization/Americanizations
Americanize,verb,Americanized,,Americanizing,Americanizes
Amerind,adj,,
Amerind,noun,Amerinds
Amerindian,adj,,
Amerindian,noun,Amerindians
Amharic,adj,,
Amharic,noun,Amharic
Amherst,noun,Amherst
Amish,adj,,
Amish,noun,Amish
Amman,noun,Amman
Amos,noun,Amos/Amoses
Amritsar,noun,Amritsar
Amsterdam,noun,
Amur,noun,Amur
Amy,noun,Amy
Anabaptist,adj,,
Anabaptist,noun,Anabaptists
Anatolia,noun,Anatolia
Anatolian,adj,,
Anatolian,noun,Anatolians
Anchorage,noun,Anchorage
Andalusian,adj,,
Andalusian,noun,Andalusians
Andaman,noun,Andaman
Andean,adj,,
Andean,noun,Andeans
Andersen,noun,Andersen/Andersens
Anderson,noun,Andersons/Anderson
Andes,noun,Andes
Andorra,noun,Andorra
Andrea,noun,Andrea/Andreas
Andrew,noun,Andrews/Andrew
Andromeda,noun,Andromeda
Andy,noun,Andy/Andys
Angelica,noun,Angelica
Anglia,noun,Anglia
Anglican,adj,,
Anglican,noun,Anglicans
Anglicanism,noun,Anglicanism
Anglo,adj,,
Anglo,noun,Anglos
Angola,noun,Angola
Angolan,adj,,
Angolan,noun,Angolans
Angora,noun,Angora/Angoras
Anguilla,noun,Anguilla
Angus,noun,Angus
Anita,noun,Anita/Anitas
Ankara,noun,Ankara
Ann,noun,Ann/Anns
Anna,noun,Anna/Annas
Annapolis,noun,Annapolis
Anne,noun,Annes/Anne
Annie,noun,Annie/Annies
Antananarivo,noun,Antananarivo
Antarctic,adj,,
Antarctic,noun,
Antarctica,noun,Antarctica
Anthony,noun,Anthony
Antietam,noun,
Antigua,noun,Antigua
Antioch,noun,Antioch
Anton,noun,Anton/Antons
Antonia,noun,Antonia/Antonias
Antonio,noun,Antonio/Antonios
Antony,noun,Antony/Antonys
Antwerp,noun,Antwerp
Anubis,noun,Anubis
Anzac,noun,Anzacs
Apache,adj,,
Apache,noun,Apaches/Apache
Apennines,noun,Apennines
Aphrodite,noun,Aphrodites/Aphrodite
Apocrypha,noun,Apocrypha
Apollo,noun,Apollo/Apollos
Appalachia,noun,Appalachia
Appalachian,adj,,
Appalachians,noun,Appalachians
Appaloosa,noun,Appaloosas
April,noun,April/Aprils
Aquarius,noun,Aquarius/Aquariuses
Aquila,noun,Aquila
Aquitaine,noun,Aquitaine
Ara,noun,Ara
Arab,adj,,
Arab,noun,Arabs
Arabia,noun,Arabia
Arabian,adj,,
Arabian,noun,Arabians
Arabic,noun,Arabic
Aramaic,noun,Aramaic
Arapaho,noun,Arapaho/Arapahos
Arapahoe,noun,Arapahoes/Arapahoe
Araucanian,adj,,
Araucanian,noun,Araucanians
Arawak,noun,Arawak
Arcadia,noun,Arcadia
Arcadian,adj,,
Archaean,adj,,
Archaean,noun,Archaeans
Archean,adj,,
Archean,noun,Archeans
Archimedes,noun,Archimedes
Arctic,adj,,
Arctic,noun,
Arden,noun,Ardens/Arden
Argentina,noun,Argentina
Argentine,adj,,
Argentine,noun,Argentines
Argonne,noun,Argonne
Argos,noun,Argos
Ariadne,noun,Ariadne
Aries,noun,Aries/Arieses
Aristotelian,adj,,
Aristotle,noun,Aristotles/Aristotle
Arius,noun,Arius
Arizona,noun,Arizona
Arizonan,adj,,
Arizonan,noun,Arizonans
Arkansan,adj,,
Arkansan,noun,Arkansans
Arkansas,noun,Arkansas
Arkhangelsk,noun,Arkhangelsk
Arlington,noun,Arlington
Armagnac,noun,Armagnacs
Armand,noun,Armand/Armands
Armenia,noun,Armenia
Armenian,noun,Armenians/Armenian
Armour,noun,
Armstrong,noun,Armstrongs/Armstrong
Arno,noun,Arno/Arnos
Arnold,noun,Arnolds/Arnold
Arrhenius,noun,Arrhenius
Artemis,noun,Artemis/Artemises
Arthur,noun,Arthurs/Arthur
Aruba,noun,Aruba
Ashanti,noun,Ashantis/Ashanti
Ashkhabad,noun,Ashkhabad
Asia,noun,Asia
Asian,adj,,
Asian,noun,Asians
Asiatic,adj,,
Asiatic,noun,Asiatics
Aspen,noun,Aspen
Asperger,noun,Asperger/Aspergers
Assad,noun,Assad/Assads
Assam,noun,Assam
Assamese,adj,,
Assamese,noun,Assamese
Assyria,noun,Assyria
Assyrian,adj,,
Assyrian,noun,Assyrians
Astarte,noun,Astarte
Aston,noun,Astons/Aston
Astrakhan,adj,,
Astrakhan,noun,Astrakhan
Asturias,noun,Asturias
Athabasca,noun,Athabasca
Athabascan,adj,,
Athabascan,noun,Athabascan/Athabascans
Athabaskan,adj,,
Athabaskan,noun,Athabaskan/Athabaskans
Athena,noun,Athena
Athenian,adj,,
Athenian,noun,Athenians
Athens,noun,Athens
Atkins,noun,Atkins/Atkinses
Atkinson,noun,Atkinson/Atkinsons
Atlanta,noun,Atlanta
Atlantic,adj,,
Atlantic,noun,
Auckland,noun,
Audi,noun,Audi/Audis
Augsburg,noun,Augsburg
August,noun,Augusts/August
Augusta,noun,Augusta
Augustan,adj,,
Augustan,noun,Augustans
Augustine,noun,Augustine
Augustus,noun,Augustus/Augustuses
Aurelia,noun,Aurelia
Austin,noun,Austins/Austin
Australasia,noun,Australasia
Australia,noun,Australia
Australian,adj,,
Australian,noun,Australians
Australoid,adj,,
Australopithecus,noun,Australopithecus
Austria,noun,Austria
Austrian,adj,,
Austrian,noun,Austrians
Austronesian,adj,,
Austronesian,noun,Austronesians
Avalon,noun,Avalon
Avery,noun,Avery/Averys
Avicenna,noun,Avicenna
Avogadro,noun,Avogadro/Avogadros
Avon,noun,Avon
Aymara,noun,Aymaras/Aymara
Ayrshire,noun,Ayrshire
